x,y,time,spatial_ref,volumetric_soil_water_layer_3,wp_list_100cm,fc_list_100cm
58.35000228881836,37.04999923706055,2022-01-31,0,116.84234619140625,18.097,29.567
58.35000228881836,37.04999923706055,2022-02-01,0,117.27081298828125,18.097,29.567
58.35000228881836,37.04999923706055,2022-02-02,0,117.711181640625,18.097,29.567
58.35000228881836,36.95000076293945,2022-01-31,0,138.204345703125,14.461,24.103
58.35000228881836,36.95000076293945,2022-02-01,0,138.69186401367188,14.461,24.103
58.35000228881836,36.95000076293945,2022-02-02,0,139.19174194335938,14.461,24.103
58.35000228881836,36.849998474121094,2022-01-31,0,138.145751953125,15.074,25.044
58.35000228881836,36.849998474121094,2022-02-01,0,138.7921142578125,15.074,25.044
58.35000228881836,36.849998474121094,2022-02-02,0,139.44488525390625,15.074,25.044
58.35000228881836,36.75,2022-01-31,0,133.29071044921875,16.91,28.175
58.35000228881836,36.75,2022-02-01,0,134.22409057617188,16.91,28.175
58.35000228881836,36.75,2022-02-02,0,135.1318359375,16.91,28.175
58.35000228881836,36.650001525878906,2022-01-31,0,128.57757568359375,14.45,23.899
58.35000228881836,36.650001525878906,2022-02-01,0,129.49676513671875,14.45,23.899
58.35000228881836,36.650001525878906,2022-02-02,0,130.36605834960938,14.45,23.899
58.35000228881836,36.54999923706055,2022-01-31,0,122.5341796875,13.786,22.127
58.35000228881836,36.54999923706055,2022-02-01,0,123.26705932617188,13.786,22.127
58.35000228881836,36.54999923706055,2022-02-02,0,123.95782470703125,13.786,22.127
58.35000228881836,36.45000076293945,2022-01-31,0,123.56369018554688,17.517,29.244
58.35000228881836,36.45000076293945,2022-02-01,0,123.98117065429688,17.517,29.244
58.35000228881836,36.45000076293945,2022-02-02,0,124.3780517578125,17.517,29.244
58.35000228881836,36.349998474121094,2022-01-31,0,152.6312255859375,15.048,24.453
58.35000228881836,36.349998474121094,2022-02-01,0,152.666015625,15.048,24.453
58.35000228881836,36.349998474121094,2022-02-02,0,152.70034790039062,15.048,24.453
58.35000228881836,36.25,2022-01-31,0,191.9769287109375,17.492,28.506
58.35000228881836,36.25,2022-02-01,0,192.0538330078125,17.492,28.506
58.35000228881836,36.25,2022-02-02,0,192.12295532226562,17.492,28.506
58.35000228881836,36.150001525878906,2022-01-31,0,112.72064208984375,16.918,28.366
58.35000228881836,36.150001525878906,2022-02-01,0,112.730712890625,16.918,28.366
58.35000228881836,36.150001525878906,2022-02-02,0,112.72476196289062,16.918,28.366
58.35000228881836,36.04999923706055,2022-01-31,0,113.88839721679688,13.845,23.152
58.35000228881836,36.04999923706055,2022-02-01,0,113.88427734375,13.845,23.152
58.35000228881836,36.04999923706055,2022-02-02,0,113.88427734375,13.845,23.152
58.35000228881836,35.95000076293945,2022-01-31,0,126.23291015625,17.485,28.321
58.35000228881836,35.95000076293945,2022-02-01,0,126.23291015625,17.485,28.321
58.35000228881836,35.95000076293945,2022-02-02,0,126.23291015625,17.485,28.321
58.35000228881836,35.849998474121094,2022-01-31,0,134.388427734375,15.703,26.369
58.35000228881836,35.849998474121094,2022-02-01,0,134.39849853515625,15.703,26.369
58.35000228881836,35.849998474121094,2022-02-02,0,134.40673828125,15.703,26.369
58.450008392333984,37.04999923706055,2022-01-31,0,121.754150390625,15.698,26.179
58.450008392333984,37.04999923706055,2022-02-01,0,122.3419189453125,15.698,26.179
58.450008392333984,37.04999923706055,2022-02-02,0,122.93289184570312,15.698,26.179
58.450008392333984,36.95000076293945,2022-01-31,0,126.485595703125,13.857,23.359
58.450008392333984,36.95000076293945,2022-02-01,0,127.020263671875,13.857,23.359
58.450008392333984,36.95000076293945,2022-02-02,0,127.56683349609375,13.857,23.359
58.450008392333984,36.849998474121094,2022-01-31,0,128.14315795898438,10.655,17.421
58.450008392333984,36.849998474121094,2022-02-01,0,128.82110595703125,10.655,17.421
58.450008392333984,36.849998474121094,2022-02-02,0,129.49905395507812,10.655,17.421
58.450008392333984,36.75,2022-01-31,0,134.03457641601562,15.731,26.967
58.450008392333984,36.75,2022-02-01,0,135.047607421875,15.731,26.967
58.450008392333984,36.75,2022-02-02,0,136.036376953125,15.731,26.967
58.450008392333984,36.650001525878906,2022-01-31,0,134.30099487304688,18.077,29.024
58.450008392333984,36.650001525878906,2022-02-01,0,135.3607177734375,18.077,29.024
58.450008392333984,36.650001525878906,2022-02-02,0,136.37191772460938,18.077,29.024
58.450008392333984,36.54999923706055,2022-01-31,0,129.41757202148438,19.248,30.069
58.450008392333984,36.54999923706055,2022-02-01,0,130.32669067382812,19.248,30.069
58.450008392333984,36.54999923706055,2022-02-02,0,131.18865966796875,19.248,30.069
58.450008392333984,36.45000076293945,2022-01-31,0,123.67263793945312,15.674,25.776
58.450008392333984,36.45000076293945,2022-02-01,0,124.40093994140625,15.674,25.776
58.450008392333984,36.45000076293945,2022-02-02,0,125.0848388671875,15.674,25.776
58.450008392333984,36.349998474121094,2022-01-31,0,128.06900024414062,13.845,23.152
58.450008392333984,36.349998474121094,2022-02-01,0,128.55606079101562,13.845,23.152
58.450008392333984,36.349998474121094,2022-02-02,0,129.00924682617188,13.845,23.152
58.450008392333984,36.25,2022-01-31,0,209.95376586914062,19.258,30.41
58.450008392333984,36.25,2022-02-01,0,209.96658325195312,19.258,30.41
58.450008392333984,36.25,2022-02-02,0,209.97894287109375,19.258,30.41
58.450008392333984,36.150001525878906,2022-01-31,0,172.22946166992188,15.095,25.446
58.450008392333984,36.150001525878906,2022-02-01,0,172.2857666015625,15.095,25.446
