x,y,time,spatial_ref,volumetric_soil_water_layer_3,wp_list_100cm,fc_list_100cm,mo
58.35000228881836,37.04999923706055,2022-01-31,0,116.84234619140625,18.097,29.567,0.0
58.35000228881836,37.04999923706055,2022-02-01,0,117.27081298828125,18.097,29.567,-0.5590902686015151
58.35000228881836,37.04999923706055,2022-02-02,0,117.711181640625,18.097,29.567,-0.5553547254727008
58.35000228881836,36.95000076293945,2022-01-31,0,138.204345703125,14.461,24.103,0.0
58.35000228881836,36.95000076293945,2022-02-01,0,138.69186401367188,14.461,24.103,-0.06643491284873483
58.35000228881836,36.95000076293945,2022-02-02,0,139.19174194335938,14.461,24.103,-0.06137871796648141
58.35000228881836,36.849998474121094,2022-01-31,0,138.145751953125,15.074,25.044,0.0
58.35000228881836,36.849998474121094,2022-02-01,0,138.7921142578125,15.074,25.044,-0.12632144480315927
58.35000228881836,36.849998474121094,2022-02-02,0,139.44488525390625,15.074,25.044,-0.11983837253949327
58.35000228881836,36.75,2022-01-31,0,133.29071044921875,16.91,28.175,0.0
58.35000228881836,36.75,2022-02-01,0,134.22409057617188,16.91,28.175,-0.31788095473396577
58.35000228881836,36.75,2022-02-02,0,135.1318359375,16.91,28.175,-0.30959529004729797
58.35000228881836,36.650001525878906,2022-01-31,0,128.57757568359375,14.45,23.899,0.0
58.35000228881836,36.650001525878906,2022-02-01,0,129.49676513671875,14.45,23.899,-0.16850909425765953
58.35000228881836,36.650001525878906,2022-02-02,0,130.36605834960938,14.45,23.899,-0.15878119233020688
58.35000228881836,36.54999923706055,2022-01-31,0,122.5341796875,13.786,22.127,0.0
58.35000228881836,36.54999923706055,2022-02-01,0,123.26705932617188,13.786,22.127,-0.18374080221196482
58.35000228881836,36.54999923706055,2022-02-02,0,123.95782470703125,13.786,22.127,-0.17495433010224326
58.35000228881836,36.45000076293945,2022-01-31,0,123.56369018554688,17.517,29.244,0.0
58.35000228881836,36.45000076293945,2022-02-01,0,123.98117065429688,17.517,29.244,-0.44006403866677846
58.35000228881836,36.45000076293945,2022-02-02,0,124.3780517578125,17.517,29.244,-0.4365040449023886
58.35000228881836,36.349998474121094,2022-01-31,0,152.6312255859375,15.048,24.453,0.0
58.35000228881836,36.349998474121094,2022-02-01,0,152.666015625,15.048,24.453,0.022873211971690698
58.35000228881836,36.349998474121094,2022-02-02,0,152.70034790039062,15.048,24.453,0.023243122009569486
58.35000228881836,36.25,2022-01-31,0,191.9769287109375,17.492,28.506,0.0
58.35000228881836,36.25,2022-02-01,0,192.0538330078125,17.492,28.506,0.1548658862442118
58.35000228881836,36.25,2022-02-02,0,192.12295532226562,17.492,28.506,0.15556412754505616
58.35000228881836,36.150001525878906,2022-01-31,0,112.72064208984375,16.918,28.366,0.0
58.35000228881836,36.150001525878906,2022-02-01,0,112.730712890625,16.918,28.366,-0.4931809740579686
58.35000228881836,36.150001525878906,2022-02-02,0,112.72476196289062,16.918,28.366,-0.4930930041000611
58.35000228881836,36.04999923706055,2022-01-31,0,113.88839721679688,13.845,23.152,0.0
58.35000228881836,36.04999923706055,2022-02-01,0,113.88427734375,13.845,23.152,-0.2639046178489647
58.35000228881836,36.04999923706055,2022-02-02,0,113.88427734375,13.845,23.152,-0.2639488842403569
58.35000228881836,35.95000076293945,2022-01-31,0,126.23291015625,17.485,28.321,0.0
58.35000228881836,35.95000076293945,2022-02-01,0,126.23291015625,17.485,28.321,-0.44866269697074546
58.35000228881836,35.95000076293945,2022-02-02,0,126.23291015625,17.485,28.321,-0.44866269697074546
58.35000228881836,35.849998474121094,2022-01-31,0,134.388427734375,15.703,26.369,0.0
58.35000228881836,35.849998474121094,2022-02-01,0,134.39849853515625,15.703,26.369,-0.21227800736569474
58.35000228881836,35.849998474121094,2022-02-02,0,134.40673828125,15.703,26.369,-0.21218358770714188
58.450008392333984,37.04999923706055,2022-01-31,0,121.754150390625,15.698,26.179,0.0
58.450008392333984,37.04999923706055,2022-02-01,0,122.3419189453125,15.698,26.179,-0.3360924492832271
58.450008392333984,37.04999923706055,2022-02-02,0,122.93289184570312,15.698,26.179,-0.3304845058170741
58.450008392333984,36.95000076293945,2022-01-31,0,126.485595703125,13.857,23.359,0.0
58.450008392333984,36.95000076293945,2022-02-01,0,127.020263671875,13.857,23.359,-0.12717748154993674
58.450008392333984,36.95000076293945,2022-02-02,0,127.56683349609375,13.857,23.359,-0.12155058227873067
58.450008392333984,36.849998474121094,2022-01-31,0,128.14315795898438,10.655,17.421,0.0
58.450008392333984,36.849998474121094,2022-02-01,0,128.82110595703125,10.655,17.421,0.3191421513299494
58.450008392333984,36.849998474121094,2022-02-02,0,129.49905395507812,10.655,17.421,0.3291620744462201
58.450008392333984,36.75,2022-01-31,0,134.03457641601562,15.731,26.967,0.0
58.450008392333984,36.75,2022-02-01,0,135.047607421875,15.731,26.967,-0.20715044129569585
58.450008392333984,36.75,2022-02-02,0,136.036376953125,15.731,26.967,-0.19813450140730696
58.450008392333984,36.650001525878906,2022-01-31,0,134.30099487304688,18.077,29.024,0.0
58.450008392333984,36.650001525878906,2022-02-01,0,135.3607177734375,18.077,29.024,-0.4244907748876691
58.450008392333984,36.650001525878906,2022-02-02,0,136.37191772460938,18.077,29.024,-0.414810287992715
58.450008392333984,36.54999923706055,2022-01-31,0,129.41757202148438,19.248,30.069,0.0
58.450008392333984,36.54999923706055,2022-02-01,0,130.32669067382812,19.248,30.069,-0.5827781903568585
58.450008392333984,36.54999923706055,2022-02-02,0,131.18865966796875,19.248,30.069,-0.5743767611696877
